P.s,Item,Condition,Probmanip,Speaker,statement,response,final,Meaning,Imposition
6,4,3,0,0,0,0,0,Direct,High
6,5,4,0,1,0,0,0,Direct,Low
6,6,1,0,0,0,0,0,Indirect,High
6,7,2,0,0,1,0,0,Indirect,Low
6,8,3,0,0,0,1,0,Direct,High
6,9,4,0,0,0,0,0,Direct,Low
6,10,1,0,0,0,0,0,Indirect,High
6,11,2,0,0,0,0,0,Indirect,Low
6,12,3,0,0,0,0,0,Direct,High
6,13,4,0,0,0,0,0,Direct,Low
6,14,1,0,1,0,1,0,Indirect,High
6,15,2,1,0,0,0,0,Indirect,Low
6,16,3,0,0,0,0,0,Direct,High
6,17,4,0,0,1,0,0,Direct,Low
6,18,1,0,1,0,0,0,Indirect,High
6,19,2,0,1,0,0,0,Indirect,Low
6,20,3,0,0,0,1,0,Direct,High
6,21,4,0,0,0,0,0,Direct,Low
6,22,1,0,0,0,0,0,Indirect,High
6,23,2,0,1,0,0,0,Indirect,Low
6,24,3,0,0,0,1,0,Direct,High
6,25,4,1,0,0,0,0,Direct,Low
6,26,1,0,0,0,0,0,Indirect,High
6,27,2,1,1,0,0,0,Indirect,Low
6,28,3,1,0,0,0,0,Direct,High
7,1,3,1,0,0,0,0,Direct,High
7,2,4,1,0,0,0,0,Direct,Low
7,3,1,0,0,0,1,0,Indirect,High
7,4,2,1,1,1,0,0,Indirect,Low
7,5,3,1,0,1,0,0,Direct,High
7,6,4,0,0,0,1,0,Direct,Low
7,7,1,1,1,0,0,0,Indirect,High
7,8,2,,,,,,Indirect,Low
7,9,3,0,1,0,0,0,Direct,High
7,10,4,0,0,0,1,0,Direct,Low
7,11,1,1,0,1,0,0,Indirect,High
7,12,2,0,1,1,1,0,Indirect,Low
7,13,3,0,0,0,0,0,Direct,High
7,14,4,1,1,0,0,0,Direct,Low
7,15,1,1,0,0,0,0,Indirect,High
7,16,2,1,1,0,0,0,Indirect,Low
7,17,3,0,0,0,0,0,Direct,High
7,18,4,1,1,0,0,0,Direct,Low
7,19,1,0,1,0,1,0,Indirect,High
7,20,2,1,1,0,1,0,Indirect,Low
7,21,3,0,1,1,1,0,Direct,High
7,22,4,0,0,0,0,0,Direct,Low
7,23,1,0,0,0,0,0,Indirect,High
7,24,2,0,0,0,1,0,Indirect,Low
7,25,3,1,0,0,0,0,Direct,High
7,26,4,0,0,0,1,0,Direct,Low
7,27,1,1,0,0,0,0,Indirect,High
7,28,2,0,0,0,1,0,Indirect,Low
8,1,2,1,1,1,1,0,Indirect,Low
8,2,3,0,0,0,0,0,Direct,High
8,3,4,0,1,0,0,0,Direct,Low
8,4,1,0,0,0,0,0,Indirect,High
8,5,2,0,0,0,0,0,Indirect,Low
8,6,3,0,1,0,0,0,Direct,High
8,7,4,0,1,0,0,0,Direct,Low
8,8,1,0,1,0,0,0,Indirect,High
8,9,2,0,0,0,1,0,Indirect,Low
8,10,3,0,0,1,0,0,Direct,High
