P.s,Item,Condition,Prob-manip,Speaker,statement,response,final,Meaning,Probability
5,20,4,1417,264,1275,1738,2053,Direct,Low
5,21,1,1737,545,1284,1347,524,Indirect,High
5,22,2,1798,252,1095,1018,1791,Indirect,Low
5,23,3,2044,212,1513,1094,302,Direct,High
5,24,4,1223,335,1154,1316,369,Direct,Low
5,25,1,1396,410,1663,1534,1646,Indirect,High
5,26,2,1872,355,1382,1015,1464,Indirect,Low
5,27,3,2206,504,899,1975,2296,Direct,High
5,28,4,172,541,763,2705,2550,Direct,Low
6,1,4,2380,849,1954,3184,1824,Direct,Low
6,2,1,2732,740,2431,2874,2121,Indirect,High
6,3,2,2398,1187,3108,2658,616,Indirect,Low
6,4,3,2727,1204,2827,2087,1528,Direct,High
6,5,4,1501,1781,2649,1687,2233,Direct,Low
6,6,1,3458,894,2015,2399,1810,Indirect,High
6,7,2,3086,807,1050,2570,2704,Indirect,Low
6,8,3,299,522,1165,1403,1537,Direct,High
6,9,4,4392,974,1819,2346,2260,Direct,Low
6,10,1,1794,990,2093,1088,1685,Indirect,High
6,11,2,3274,1078,2073,2636,2181,Indirect,Low
6,12,3,3181,502,1488,1901,2136,Direct,High
6,13,4,200,,2729,2196,2948,Direct,Low
6,14,1,2812,842,375,2890,1957,Indirect,High
6,15,2,150,961,2276,2470,1687,Indirect,Low
6,16,3,3176,812,881,2267,3574,Direct,High
6,17,4,3824,979,1537,2620,1962,Direct,Low
6,18,1,2596,678,142,2129,2737,Indirect,High
6,19,2,3165,1079,163,1925,1269,Indirect,Low
6,20,3,2001,1101,2147,4187,2400,Direct,High
6,21,4,675,600,1736,2284,2703,Direct,Low
6,22,1,1510,553,1699,1808,2006,Indirect,High
6,23,2,3192,753,166,1897,2153,Indirect,Low
6,24,3,1320,1009,1483,,155,Direct,High
6,25,4,2223,638,2145,1861,2585,Direct,Low
6,26,1,3095,1050,2281,2165,2678,Indirect,High
6,27,2,168,939,2918,1698,1944,Indirect,Low
6,28,3,3052,1173,1503,3389,3711,Direct,High
7,1,3,1876,436,193,1585,1764,Direct,High
7,2,4,1206,612,2330,1342,953,Direct,Low
7,3,1,1420,482,1642,1778,1101,Indirect,High
7,4,2,866,662,1272,1290,1067,Indirect,Low
7,5,3,1738,546,2770,1834,1304,Direct,High
