P.s,Item,Condition,Probmanip,Speaker,statement,response,final,Meaning,Imposition
5,15,3,1741,174,1284,1761,1202,Direct,High
5,16,4,2270,341,1339,1602,1870,Direct,Low
5,17,1,2381,532,1794,1473,995,Indirect,High
5,18,2,1136,552,856,1600,1341,Indirect,Low
5,19,3,2280,296,1851,998,839,Direct,High
5,20,4,1417,264,1275,1738,2053,Direct,Low
5,21,1,1933,545,1284,1347,524,Indirect,High
5,22,2,1798,252,1095,1018,1791,Indirect,Low
5,23,3,2044,212,1513,1094,302,Direct,High
5,24,4,1223,335,1154,1316,369,Direct,Low
5,25,1,1396,410,1663,1534,1646,Indirect,High
5,26,2,1872,355,1382,1015,1464,Indirect,Low
5,27,3,2450,504,1888,2183,2296,Direct,High
5,28,4,2773,627,862,2705,2550,Direct,Low
6,1,4,2642,849,1954,3184,1824,Direct,Low
6,2,1,3350,740,2431,2874,2121,Indirect,High
6,3,2,2655,1187,3108,3111,2256,Indirect,Low
6,4,3,2727,1204,2827,2087,1528,Direct,High
6,5,4,1501,1949,3579,1687,2233,Direct,Low
6,6,1,3458,894,2015,2399,1810,Indirect,High
6,7,2,3086,807,1211,2570,2704,Indirect,Low
6,8,3,1766,522,1165,1588,1537,Direct,High
6,9,4,4952,974,1819,2346,2260,Direct,Low
6,10,1,1794,990,2093,1088,1685,Indirect,High
6,11,2,5435,1925,3011,3960,3637,Indirect,Low
6,12,3,3500,502,1750,1901,2136,Direct,High
6,13,4,1991,,2729,2196,2948,Direct,Low
6,14,1,2812,990,2678,3307,1957,Indirect,High
6,15,2,4142,961,2276,2470,1687,Indirect,Low
6,16,3,3176,812,881,2267,3574,Direct,High
6,17,4,3824,979,1691,2620,1962,Direct,Low
6,18,1,2596,880,1522,2129,2737,Indirect,High
6,19,2,4284,1711,3295,1925,1269,Indirect,Low
6,20,3,2001,1101,2147,4937,2400,Direct,High
6,21,4,3918,600,1736,2284,2703,Direct,Low
6,22,1,1510,553,1699,1808,2006,Indirect,High
6,23,2,3192,957,1997,1897,2153,Indirect,Low
6,24,3,1492,1009,1483,1973,986,Direct,High
6,25,4,2869,638,2145,1861,2585,Direct,Low
6,26,1,3095,1050,2281,2165,2678,Indirect,High
6,27,2,9295,1892,3895,3345,1944,Indirect,Low
6,28,3,3527,1173,1503,3389,3711,Direct,High
7,1,3,2006,436,855,1585,1764,Direct,High
7,2,4,2288,1232,3181,2342,2791,Direct,Low
7,3,1,1420,482,1642,1927,1592,Indirect,High
7,4,2,5791,1030,2513,4049,2432,Indirect,Low
7,5,3,3009,816,3613,2828,1847,Direct,High
7,6,4,3522,306,1702,1398,1032,Direct,Low
7,7,1,3230,735,529,2127,2618,Indirect,High
7,8,2,,,,,,Indirect,Low
7,9,3,2528,467,1083,1800,1951,Direct,High
7,10,4,3939,1151,2060,1957,2910,Direct,Low
7,11,1,3976,924,1748,2865,2050,Indirect,High
7,12,2,2565,851,1644,3475,2227,Indirect,Low
7,13,3,1933,332,2041,1843,2070,Direct,High
7,14,4,2528,613,1589,2488,1086,Direct,Low
7,15,1,4424,528,2329,2198,1176,Indirect,High
7,16,2,5122,675,1045,3904,3191,Indirect,Low
7,17,3,1821,323,1691,2140,1456,Direct,High
7,18,4,3288,983,1555,2105,1686,Direct,Low
7,19,1,3476,956,3307,1069,1488,Indirect,High
7,20,2,7057,1363,4976,5617,2605,Indirect,Low
7,21,3,1961,164,2010,2838,1948,Direct,High
7,22,4,2448,366,1180,1408,1321,Direct,Low
7,23,1,2137,362,1133,1359,1486,Indirect,High
7,24,2,993,353,1420,2100,573,Indirect,Low
7,25,3,2503,278,1885,1114,2628,Direct,High
7,26,4,2715,597,1897,2827,1996,Direct,Low
7,27,1,2295,540,1029,1747,2269,Indirect,High
7,28,2,2605,510,1410,2245,2154,Indirect,Low
8,1,2,2164,847,1318,3478,2657,Indirect,Low
8,2,3,1628,574,2137,960,1198,Direct,High
8,3,4,2558,356,1153,1557,2110,Direct,Low
8,4,1,2489,371,777,1367,1751,Indirect,High
8,5,2,1340,296,1308,791,1328,Indirect,Low
8,6,3,2518,525,1359,1312,356,Direct,High
8,7,4,1697,394,828,1023,2162,Direct,Low
8,8,1,888,143,982,916,552,Indirect,High
8,9,2,4853,501,1169,1441,2023,Indirect,Low
8,10,3,1735,268,861,849,1056,Direct,High
8,11,4,2471,1715,976,873,1096,Direct,Low
8,12,1,1330,836,1117,925,916,Indirect,High
8,13,2,1822,230,1680,1968,1304,Indirect,Low
8,14,3,1638,196,1129,1513,1130,Direct,High
8,15,4,1487,307,992,1884,596,Direct,Low
8,16,1,4286,292,976,2015,2188,Indirect,High
8,17,2,2597,285,627,2061,821,Indirect,Low
8,18,3,2485,296,735,1234,1079,Direct,High
8,19,4,2624,205,1121,733,717,Direct,Low
8,20,1,1536,,1016,1061,1268,Indirect,High
8,21,2,2393,238,1967,2677,1310,Indirect,Low
8,22,3,1179,158,937,929,1080,Direct,High
8,23,4,3069,369,1456,1702,798,Direct,Low
8,24,1,1056,,1441,1974,900,Indirect,High
8,25,2,2397,464,1407,1118,1223,Indirect,Low
8,26,3,1364,210,861,1221,1499,Direct,High
8,27,4,2583,197,623,1233,2002,Direct,Low
8,28,1,1493,347,807,1481,1724,Indirect,High
9,1,1,1629,435,670,1896,2989,Indirect,High
9,2,2,3863,1251,4046,1380,1683,Indirect,Low
9,3,3,4438,266,862,1327,2544,Direct,High
9,4,4,2409,150,1630,1331,1556,Direct,Low
9,5,1,1918,577,2924,2310,1627,Indirect,High
9,6,2,3201,,2273,2936,569,Indirect,Low
9,7,3,4368,474,862,1612,2722,Direct,High
9,8,4,6167,709,2029,2868,1194,Direct,Low
9,9,1,4093,163,771,1343,2000,Indirect,High
9,10,2,2975,685,980,851,1670,Indirect,Low
9,11,3,2619,851,1027,1419,1908,Direct,High
9,12,4,3591,217,607,1093,1707,Direct,Low
9,13,1,3201,889,1404,1118,2531,Indirect,High
9,14,2,4873,340,1494,2067,1453,Indirect,Low
9,15,3,2194,299,976,1174,1103,Direct,High
9,16,4,3518,538,593,1116,2867,Direct,Low
9,17,1,2005,218,664,795,580,Indirect,High
9,18,2,1895,402,2121,1401,957,Indirect,Low
9,19,3,4991,137,1663,780,467,Direct,High
9,20,4,1786,408,1093,1338,1571,Direct,Low
9,21,1,1559,313,1178,2207,748,Indirect,High
9,22,2,2385,280,1171,1340,568,Indirect,Low
9,23,3,2357,191,1122,1028,813,Direct,High
9,24,4,1642,160,980,2043,1253,Direct,Low
9,25,1,1238,,1553,1022,1039,Indirect,High
9,26,2,2108,,1865,1461,1438,Indirect,Low
9,27,3,3460,323,770,730,834,Direct,High
9,28,4,2718,192,768,1295,1934,Direct,Low
10,1,4,3093,,1914,981,2691,Direct,Low
10,2,1,979,,1437,1736,684,Indirect,High
10,3,2,1290,,3107,3025,1163,Indirect,Low
10,4,3,1731,,1619,2831,1160,Direct,High
10,5,4,1946,,2020,1970,1039,Direct,Low
10,6,1,1048,,1311,3161,863,Indirect,High
10,7,2,2700,276,769,2642,1872,Indirect,Low
10,8,3,1247,331,1356,1649,717,Direct,High
10,9,4,2946,402,2027,812,2522,Direct,Low
10,10,1,1663,665,1585,1497,1281,Indirect,High
10,11,2,2266,444,1768,2001,1195,Indirect,Low
10,12,3,1612,,927,1048,431,Direct,High
10,13,4,1981,,2101,2012,3760,Direct,Low
10,14,1,2399,,1492,2190,1300,Indirect,High
10,15,2,2169,,1333,2552,726,Indirect,Low
10,16,3,1522,395,449,2864,2603,Direct,High
10,17,4,2616,289,2493,2271,778,Direct,Low
10,18,1,1773,,887,874,1334,Indirect,High
10,19,2,1570,,2437,1300,943,Indirect,Low
10,20,3,1152,,1834,1366,776,Direct,High
10,21,4,1078,,1395,1752,762,Direct,Low
10,22,1,1303,,1228,2898,775,Indirect,High
10,23,2,4907,295,1529,1449,1062,Indirect,Low
10,24,3,1213,,1207,1525,908,Direct,High
10,25,4,1162,,2252,580,1811,Direct,Low
10,26,1,1178,,2087,1788,1367,Indirect,High
10,27,2,3515,,710,1484,786,Indirect,Low
10,28,3,1793,,962,2569,1191,Direct,High
11,1,3,1698,872,1341,1775,896,Direct,High
11,2,4,1928,414,1417,1054,750,Direct,Low
11,3,1,1923,641,2440,1853,1596,Indirect,High
11,4,2,2164,341,622,1963,1065,Indirect,Low
11,5,3,1100,725,2326,1382,1316,Direct,High
11,6,4,2865,421,2505,1607,718,Direct,Low
11,7,1,3057,563,684,2672,853,Indirect,High
11,8,2,,,,,,Indirect,Low
11,9,3,3049,643,754,1707,2367,Direct,High
11,10,4,2173,674,1017,851,,Direct,Low
11,11,1,2949,997,2152,2010,1431,Indirect,High
11,12,2,2158,653,1287,1581,867,Indirect,Low
11,13,3,1516,375,1059,1909,1212,Direct,High
11,14,4,2191,662,1739,2381,937,Direct,Low
11,15,1,2947,341,2051,2491,768,Indirect,High
11,16,2,3204,512,1315,2178,2061,Indirect,Low
11,17,3,3050,334,1433,1451,1524,Direct,High
11,18,4,2524,785,1091,1434,211,Direct,Low
11,19,1,3144,566,2103,2099,895,Indirect,High
11,20,2,1866,545,1323,1993,684,Indirect,Low
11,21,3,1658,411,1088,1084,413,Direct,High
11,22,4,2032,214,821,1160,240,Direct,Low
11,23,1,2516,643,1311,1481,970,Indirect,High
11,24,2,1171,367,1298,1456,750,Indirect,Low
11,25,3,1919,349,1966,1616,1781,Direct,High
11,26,4,2695,444,2641,1965,4848,Direct,Low
11,27,1,2085,272,966,1493,2560,Indirect,High
11,28,2,2092,581,968,1299,2759,Indirect,Low
12,1,2,4973,1227,3662,1562,991,Indirect,Low
12,2,3,1583,570,1555,909,1576,Direct,High
12,3,4,1521,317,1265,1473,2466,Direct,Low
12,4,1,2034,247,1024,1410,2656,Indirect,High
12,5,2,4268,633,3399,2504,1502,Indirect,Low
12,6,3,1478,168,1071,917,751,Direct,High
12,7,4,2836,496,721,1441,1766,Direct,Low
12,8,1,1116,353,739,691,946,Indirect,High
12,9,2,3653,649,752,1046,2184,Indirect,Low
12,10,3,1805,371,1808,909,2441,Direct,High
12,11,4,1221,1199,1224,1351,1138,Direct,Low
12,12,1,1445,777,1811,1539,1496,Indirect,High
12,13,2,1708,638,1375,1755,2836,Indirect,Low
12,14,3,1779,682,1038,1719,1188,Direct,High
12,15,4,2518,339,1699,1381,403,Direct,Low
12,16,1,1587,226,770,1328,2693,Indirect,High
12,17,2,1982,449,1073,1585,1314,Indirect,Low
12,18,3,1725,260,742,1068,1248,Direct,High
12,19,4,3142,350,1526,1131,1356,Direct,Low
12,20,1,1131,256,873,1490,985,Indirect,High
12,21,2,1847,1031,885,1579,779,Indirect,Low
12,22,3,1253,295,865,1062,1182,Direct,High
12,23,4,2600,491,1091,1265,1076,Direct,Low
12,24,1,886,213,908,1388,728,Indirect,High
12,25,2,1362,334,1689,2502,1982,Indirect,Low
12,26,3,1751,403,1642,1505,2029,Direct,High
12,27,4,2782,377,708,989,1213,Direct,Low
12,28,1,3865,238,997,1357,1989,Indirect,High
13,1,1,2216,885,1355,1613,1375,Indirect,High
13,2,2,1389,615,1961,1886,1429,Indirect,Low
13,3,3,1806,636,1481,2842,2518,Direct,High
13,4,4,3169,179,2060,1481,1599,Direct,Low
13,5,1,1415,404,1269,1020,1213,Indirect,High
13,6,2,1859,,3079,1462,810,Indirect,Low
13,7,3,2700,373,835,1878,1166,Direct,High
13,8,4,3357,640,1306,1251,2371,Direct,Low
13,9,1,2949,318,1038,1643,2037,Indirect,High
13,10,2,2694,258,1039,1006,765,Indirect,Low
13,11,3,2505,934,1754,1297,1308,Direct,High
13,12,4,2516,455,854,908,1960,Direct,Low
13,13,1,2039,184,1354,2393,1882,Indirect,High
13,14,2,1940,323,2789,2367,1515,Indirect,Low
13,15,3,2262,334,1043,1622,1413,Direct,High
13,16,4,2561,482,611,1576,1910,Direct,Low
13,17,1,2619,,719,1343,1091,Indirect,High
13,18,2,1156,292,1576,1598,1182,Indirect,Low
13,19,3,1632,357,2639,633,1031,Direct,High
13,20,4,1196,642,2070,2774,2422,Direct,Low
13,21,1,2313,647,2007,2182,1126,Indirect,High
13,22,2,1372,239,1264,1593,829,Indirect,Low
13,23,3,3563,316,2575,1706,1268,Direct,High
13,24,4,2706,467,1579,1610,908,Direct,Low
13,25,1,935,251,1573,1130,2981,Indirect,High
13,26,2,2288,143,1894,1655,1784,Indirect,Low
13,27,3,2243,298,1898,2219,1307,Direct,High
13,28,4,2634,269,935,1960,2502,Direct,Low
14,1,4,1801,157,1116,1491,1048,Direct,Low
14,2,1,1509,,1623,1129,1362,Indirect,High
14,3,2,789,,2005,2422,1868,Indirect,Low
14,4,3,1193,,2359,924,959,Direct,High
14,5,4,1254,158,1490,939,1175,Direct,Low
14,6,1,1274,101,796,672,776,Indirect,High
14,7,2,2711,,2005,1654,1111,Indirect,Low
14,8,3,987,182,1132,2401,1267,Direct,High
14,9,4,2088,138,801,905,1297,Direct,Low
14,10,1,1834,342,463,310,1899,Indirect,High
14,11,2,1324,783,1651,557,1183,Indirect,Low
14,12,3,2583,,1035,925,1033,Direct,High
14,13,4,1752,,2137,1339,2086,Direct,Low
14,14,1,2229,,1288,2251,1194,Indirect,High
14,15,2,3082,238,2417,1206,784,Indirect,Low
14,16,3,2342,256,1402,1885,2513,Direct,High
14,17,4,3106,174,1135,1497,282,Direct,Low
14,18,1,1140,,1937,1070,719,Indirect,High
14,19,2,1649,185,3557,1641,1171,Indirect,Low
14,20,3,2081,177,4351,3368,1311,Direct,High
14,21,4,1239,,680,928,749,Direct,Low
14,22,1,944,,986,698,688,Indirect,High
14,23,2,1485,152,1081,1202,1450,Indirect,Low
14,24,3,772,,692,1040,641,Direct,High
14,25,4,1634,,1449,898,1501,Direct,Low
14,26,1,1341,,1055,1445,1523,Indirect,High
14,27,2,4450,280,967,520,835,Indirect,Low
14,28,3,3204,263,1444,1453,1093,Direct,High
15,1,3,2098,218,1811,1211,1063,Direct,High
15,2,4,1544,228,1015,1311,1917,Direct,Low
15,3,1,2128,269,1078,1263,2141,Indirect,High
15,4,2,2121,184,1698,2095,2966,Indirect,Low
15,5,3,2095,312,2374,3000,2203,Direct,High
15,6,4,2910,340,880,736,700,Direct,Low
15,7,1,2030,159,811,990,1436,Indirect,High
15,8,2,,,,,,Indirect,Low
15,9,3,2980,238,1456,1351,2729,Direct,High
15,10,4,3245,170,3039,1046,1841,Direct,Low
15,11,1,1924,403,1230,854,2226,Indirect,High
15,12,2,1838,411,1543,793,1460,Indirect,Low
15,13,3,1115,196,1434,1574,2776,Direct,High
15,14,4,3023,221,1551,1575,1101,Direct,Low
15,15,1,1917,290,1286,1287,1426,Indirect,High
15,16,2,3292,513,1307,1796,2563,Indirect,Low
15,17,3,1557,202,1025,444,1729,Direct,High
15,18,4,1593,,802,1580,1774,Direct,Low
15,19,1,2191,228,2514,1556,1692,Indirect,High
15,20,2,1789,228,1035,1302,1163,Indirect,Low
15,21,3,1250,197,696,1441,936,Direct,High
15,22,4,930,640,1715,1064,836,Direct,Low
15,23,1,1996,411,1878,885,883,Indirect,High
15,24,2,1368,330,1279,1597,1697,Indirect,Low
15,25,3,1368,313,1374,1154,2280,Direct,High
15,26,4,2717,304,2221,1622,2311,Direct,Low
15,27,1,2568,142,1754,1261,2479,Indirect,High
15,28,2,1116,215,1142,1649,2295,Indirect,Low
16,1,2,2008,535,1120,1405,1270,Indirect,Low
16,2,3,1242,385,1658,1194,2144,Direct,High
16,3,4,3062,812,2130,2059,1407,Direct,Low
16,4,1,2766,316,1120,1436,1101,Indirect,High
16,5,2,1236,291,1239,1030,926,Indirect,Low
16,6,3,2161,210,2376,1339,786,Direct,High
16,7,4,1803,300,861,1605,1425,Direct,Low
16,8,1,1441,,955,947,1541,Indirect,High
16,9,2,3244,231,947,1075,1550,Indirect,Low
16,10,3,1876,370,1555,1400,1091,Direct,High
16,11,4,1688,565,1310,1274,1914,Direct,Low
16,12,1,1504,216,1653,1348,1508,Indirect,High
16,13,2,1373,519,997,1911,2516,Indirect,Low
16,14,3,2096,309,2351,1831,1150,Direct,High
16,15,4,2255,111,1391,1698,909,Direct,Low
16,16,1,2666,224,1196,3094,2965,Indirect,High
16,17,2,1893,375,850,2054,1290,Indirect,Low
16,18,3,1806,295,836,1261,1132,Direct,High
16,19,4,2095,147,1363,1034,799,Direct,Low
16,20,1,1718,699,1234,1679,1253,Indirect,High
16,21,2,2930,320,1839,1311,731,Indirect,Low
16,22,3,1172,,1312,1168,1410,Direct,High
16,23,4,2067,297,1512,1492,991,Direct,Low
16,24,1,4090,445,1624,2350,702,Indirect,High
16,25,2,1475,195,1624,1103,1964,Indirect,Low
16,26,3,1416,499,1527,1270,3323,Direct,High
16,27,4,1731,350,747,1779,1236,Direct,Low
16,28,1,2240,484,1335,2002,2645,Indirect,High
17,1,1,1421,516,1291,998,2396,Indirect,High
17,2,2,1927,665,2411,1821,3187,Indirect,Low
17,3,3,2313,297,788,4179,2510,Direct,High
17,4,4,3410,916,2109,4377,797,Direct,Low
17,5,1,1353,531,1405,1548,3207,Indirect,High
17,6,2,3897,908,1960,3605,1631,Indirect,Low
17,7,3,4022,575,2048,3980,3640,Direct,High
17,8,4,1951,,1515,1287,2226,Direct,Low
17,9,1,2913,716,1220,2204,,Indirect,High
17,10,2,,,,,,Indirect,Low
17,11,3,2317,1830,2524,982,2174,Direct,High
17,12,4,2489,334,1537,3703,2300,Direct,Low
17,13,1,2651,785,2519,405,3382,Indirect,High
17,14,2,3616,544,2909,3265,2714,Indirect,Low
17,15,3,2204,755,329,3434,2237,Direct,High
17,16,4,2687,1051,577,634,2925,Direct,Low
17,17,1,2985,634,2340,2379,2995,Indirect,High
17,18,2,3877,808,2175,2454,1312,Indirect,Low
17,19,3,2012,887,4145,2123,1156,Direct,High
17,20,4,2385,434,2672,2996,3388,Direct,Low
17,21,1,1992,765,1994,5143,2208,Indirect,High
17,22,2,1947,491,2152,2505,,Indirect,Low
17,23,3,5294,449,2296,2130,2014,Direct,High
17,24,4,976,590,1842,2854,2339,Direct,Low
17,25,1,1310,,1345,1097,1754,Indirect,High
17,26,2,3110,665,1665,2603,4365,Indirect,Low
17,27,3,2399,716,1733,3318,2839,Direct,High
17,28,4,2042,547,1471,3483,3371,Direct,Low
18,1,4,2093,406,1247,3411,2284,Direct,Low
18,2,1,2777,637,2685,727,1107,Indirect,High
18,3,2,2937,557,1324,2026,1270,Indirect,Low
18,4,3,2299,134,5879,1455,1077,Direct,High
18,5,4,1964,346,872,669,917,Direct,Low
18,6,1,2135,112,1962,1132,590,Indirect,High
18,7,2,1032,320,424,956,2570,Indirect,Low
18,8,3,781,157,474,1428,1647,Direct,High
18,9,4,6740,114,1601,801,1320,Direct,Low
18,10,1,1539,283,654,482,730,Indirect,High
18,11,2,1767,430,770,729,1020,Indirect,Low
18,12,3,943,214,580,737,1825,Direct,High
18,13,4,1326,155,2156,1566,1223,Direct,Low
18,14,1,1428,126,832,1249,854,Indirect,High
18,15,2,3050,271,1086,1267,666,Indirect,Low
18,16,3,1215,309,723,1021,1388,Direct,High
18,17,4,2715,159,605,1789,860,Direct,Low
18,18,1,2986,120,568,754,871,Indirect,High
18,19,2,2273,143,1184,657,537,Indirect,Low
18,20,3,925,162,790,733,855,Direct,High
18,21,4,1566,626,852,787,546,Direct,Low
18,22,1,953,168,648,758,1454,Indirect,High
18,23,2,3380,486,705,1476,621,Indirect,Low
18,24,3,1288,220,844,855,389,Direct,High
18,25,4,1800,134,1020,683,1715,Direct,Low
18,26,1,957,194,921,814,2257,Indirect,High
18,27,2,5811,462,1805,697,1876,Indirect,Low
18,28,3,2126,353,505,1596,1676,Direct,High
19,1,3,4178,711,2028,1698,1806,Direct,High
19,2,4,3444,599,3108,1301,1129,Direct,Low
19,3,1,3454,1632,3121,2218,2373,Indirect,High
19,4,2,7407,580,3478,4521,3341,Indirect,Low
19,5,3,4379,203,1723,1135,2221,Direct,High
19,6,4,5923,566,3537,2439,1384,Direct,Low
19,7,1,4838,1057,2047,1787,2411,Indirect,High
19,8,2,,,,,,Indirect,Low
19,9,3,9216,336,1326,1746,3319,Direct,High
19,10,4,5736,850,5519,1943,2282,Direct,Low
19,11,1,1974,767,1758,1458,3983,Indirect,High
19,12,2,4176,574,2516,1652,2363,Indirect,Low
19,13,3,5185,140,2323,4346,2094,Direct,High
19,14,4,9441,413,4074,2143,3742,Direct,Low
19,15,1,1788,290,2799,1786,1757,Indirect,High
19,16,2,8914,577,2984,1890,2550,Indirect,Low
19,17,3,2005,817,2608,1833,1160,Direct,High
19,18,4,3262,1353,5213,6760,2325,Direct,Low
19,19,1,4370,293,2883,1221,2526,Indirect,High
19,20,2,1587,319,1354,1950,1828,Indirect,Low
19,21,3,1628,495,1331,1181,1615,Direct,High
19,22,4,5096,375,1663,1848,1965,Direct,Low
19,23,1,9765,961,1921,1660,1660,Indirect,High
19,24,2,1843,530,1267,1690,1592,Indirect,Low
19,25,3,2815,,2482,1296,2134,Direct,High
19,26,4,3680,298,2012,1757,3103,Direct,Low
19,27,1,3908,437,1116,2077,2214,Indirect,High
19,28,2,1775,333,1273,2045,2691,Indirect,Low
